,pl_name,pl_radj,pl_bmassj,pl_dens,pl_orbincl,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbinclerr1,pl_orbinclerr2,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_discmethod,pl_locale,pl_facility,pl_imppar,pl_rvamp,pl_disc,pl_ttvflag,pl_impparerr1,pl_impparerr2,pl_hostname,st_rad,st_mass,st_spstr,st_teff,st_metratio,st_raderr1,st_raderr2,st_masserr1,st_masserr2,pl_def_refname
0,HD 180314 b,,20.13,,,396.03,1.46,0.26,Msini,0.0,,,1.66,-1.66,,,0.62,-0.62,0.06,-0.06,Radial Velocity,Ground,Subaru Telescope,,340.8,2010,0,,,HD 180314,8.13,2.2,K0,4924.0,[Fe/H],0.3,-0.3,0.27,-0.27,Stassun et al. 2017
1,HD 180902 b,,1.685,,,510.9,1.4,0.107,Msini,0.0,,,0.041,-0.041,,,1.5,-1.5,0.11,-0.11,Radial Velocity,Ground,W. M. Keck Observatory,,34.25,2009,0,,,HD 180902,4.16,1.41,K0 III/IV,4961.0,,,,,,Luhn et al. 2019
2,HD 181342 b,,2.54,,,564.1,1.592,0.022,Msini,0.0,,,0.19,-0.19,,,4.1,-4.1,0.091,-0.091,Radial Velocity,Ground,W. M. Keck Observatory,,44.1,2009,0,,,HD 181342,4.71,1.69,K0 III,4945.0,,,,,,Luhn et al. 2019
3,HD 181433 b,,0.02,,,9.3743,0.08,0.4,Msini,0.0,,,0.0,0.0,,,0.0019,-0.0019,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,2.9,2008,0,,,HD 181433,0.79,0.63,K3 IV,4918.0,[Fe/H],0.01,-0.01,0.07,-0.07,Stassun et al. 2017
4,HD 181433 c,,0.64,,,962.0,1.76,0.28,Msini,0.0,,,,,,,15.0,-15.0,,,Radial Velocity,Ground,La Silla Observatory,,16.2,2008,0,,,HD 181433,0.79,0.63,K3 IV,4918.0,[Fe/H],0.01,-0.01,0.07,-0.07,Bouchy et al. 2009
5,HD 181433 d,,0.54,,,2172.0,3.0,0.48,Msini,0.0,,,,,,,158.0,-158.0,,,Radial Velocity,Ground,La Silla Observatory,,11.3,2008,0,,,HD 181433,0.79,0.63,K3 IV,4918.0,[Fe/H],0.01,-0.01,0.07,-0.07,Bouchy et al. 2009
6,HD 181720 b,,0.4,,,956.0,1.85,0.26,Msini,0.0,,,0.06,-0.06,,,14.0,-14.0,0.04,-0.04,Radial Velocity,Ground,La Silla Observatory,,8.4,2009,0,,,HD 181720,1.5,1.03,G1 V,5736.0,[Fe/H],0.07,-0.07,0.2,-0.2,Stassun et al. 2017
7,HD 183263 b,,3.95,,,626.51599,1.49,0.36,Msini,0.0,,,0.22,-0.22,,,1.1,-1.1,0.02,-0.02,Radial Velocity,Ground,W. M. Keck Observatory,,84.0,2004,0,,,HD 183263,1.23,1.31,G2 IV,5948.0,[Fe/H],0.02,-0.02,0.07,-0.07,Stassun et al. 2017
8,HD 212301 b,,0.51,,,2.24571,0.03,0.0,Msini,0.0,,,0.04,-0.04,,,0.00028,-0.00028,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,59.5,2005,0,,,HD 212301,1.16,1.55,F8 V,6239.0,[Fe/H],0.02,-0.02,0.16,-0.16,Stassun et al. 2017
9,HD 213240 b,,5.58,,,882.70001,1.89,0.42,Msini,0.0,,,0.31,-0.31,,,7.6,-7.6,0.03,-0.03,Radial Velocity,Ground,La Silla Observatory,,96.6,2001,0,,,HD 213240,1.51,1.57,G0/1 V,5979.0,[Fe/H],0.02,-0.02,0.12,-0.12,Stassun et al. 2017
10,HD 215497 b,,0.02,,,3.93404,0.05,0.16,Msini,0.0,,,0.01,-0.01,,,0.00066,-0.00066,0.0,0.0,Radial Velocity,Ground,La Silla Observatory,,3.0,2009,0,,,HD 215497,0.85,0.67,K3 V,5110.0,[Fe/H],0.04,-0.04,0.33,-0.33,Stassun et al. 2017
11,HD 215497 c,,0.33,,,567.94,1.282,0.49,Msini,0.0,,,,,,,2.7,-2.7,,,Radial Velocity,Ground,La Silla Observatory,,10.1,2009,0,,,HD 215497,0.85,0.67,K3 V,5110.0,[Fe/H],0.04,-0.04,0.33,-0.33,Lo Curto et al. 2010
12,HD 216435 b,,1.26,,,1311.0,2.56,0.07,Msini,0.0,,,0.13,-0.13,,,49.0,-49.0,0.17,-0.17,Radial Velocity,Ground,Anglo-Australian Telescope,,19.6,2002,0,,,HD 216435,,1.3,G0 V,5999.0,[Fe/H],,,,,Butler et al. 2006
13,HD 216437 b,,2.223,,,1334.28,2.497,0.317,Msini,0.0,,,0.058,-0.058,,,13.07,-13.36,0.036,-0.037,Radial Velocity,Ground,Anglo-Australian Telescope,,39.08,2002,0,,,HD 216437,1.39,1.17,G2/3 IV,5909.0,[Fe/H],0.03,-0.03,0.05,-0.05,Barbato et al. 2018
14,HD 216536 b,,1.05,,,148.60001,0.61,0.38,Msini,0.0,,,0.4,-0.4,,,0.7,-0.7,0.06,-0.06,Radial Velocity,Ground,McDonald Observatory,,50.0,2015,0,,,HD 216536,9.83,0.81,K0,4639.0,[Fe/H],1.28,-1.28,0.44,-0.44,Stassun et al. 2017
15,HD 216770 b,,0.57,,,118.45,0.46,0.37,Msini,0.0,,,0.05,-0.05,,,0.55,-0.55,0.01,-0.01,Radial Velocity,Ground,La Silla Observatory,,30.9,2003,0,,,HD 216770,0.93,0.74,K0 V,5399.0,[Fe/H],0.02,-0.02,0.07,-0.07,Stassun et al. 2017
16,HD 217107 b,,1.3,,,7.12682,0.08,0.13,Msini,0.0,,,0.05,-0.05,,,3.9e-05,-3.9e-05,0.0,0.0,Radial Velocity,Ground,Lick Observatory,,139.2,1998,0,,,HD 217107,1.11,1.0,G8 IV,5622.0,[Fe/H],0.01,-0.01,0.05,-0.05,Stassun et al. 2017
17,HD 217107 c,,2.6,,,4270.0,5.32,0.517,Msini,0.0,,,0.15,-0.15,,,220.0,-220.0,0.38,-0.38,Radial Velocity,Ground,Lick Observatory,,35.7,2005,0,,,HD 217107,1.11,1.0,G8 IV,5622.0,[Fe/H],0.01,-0.01,0.05,-0.05,Wright et al. 2009
54,HD 10180 h,,0.2066,,,2205.0,3.381,0.095,Msini,0.0,,,0.0139,-0.0139,,,105.9,-105.9,0.121,-0.121,Radial Velocity,Ground,La Silla Observatory,,3.117,2010,0,,,HD 10180,1.11,1.06,G1 V,5911.0,[Fe/H],0.04,-0.04,0.05,-0.05,Kane &amp; Gelino 2014
55,HD 10442 b,,1.487,,,1032.3,2.01,0.132,Msini,0.0,,,0.076,-0.076,,,8.9,-8.9,0.12,-0.12,Radial Velocity,Ground,W. M. Keck Observatory,,29.9,2014,0,,,HD 10442,1.97,1.01,K0 IV,4912.0,,,,,,Luhn et al. 2019
56,HD 10647 b,,0.94,,,989.2,2.015,0.15,Msini,0.0,,,0.08,-0.08,,,8.1,-8.1,0.011,-0.011,Radial Velocity,Ground,W. M. Keck Observatory,,18.1,2006,0,,,HD 10647,1.1,1.11,F9 V,6218.0,[Fe/H],0.02,-0.02,0.02,-0.02,Marmier et al. 2013
57,HD 10697 b,,6.383,,,1075.69,2.14,0.1043,Msini,0.0,,,0.078,-0.078,,,0.82,-0.82,0.088,-0.088,Radial Velocity,Ground,W. M. Keck Observatory,,116.9,1999,0,,,HD 10697,1.79,1.13,G5 IV,5600.0,,,,,,Luhn et al. 2019
