,pl_name,pl_discmethod,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbinclref,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_teff,pl_facility,pl_locale,pl_bmassjlim,st_spstr,pl_ttvflag,er,em,ep,ea,ers,ems,mmax,mmin,orbsmax,Pet,reli
0,Kepler-37 b,Transit,0.032,0.001,-0.001,Van Eylen & Albrecht 2015,0.01,0.01,-0.01,Stassun et al. 2017,88.63,0.41,-0.41,Stassun et al. 2017,,,,,0.48,0.13,-0.13, Marcy et al. 2014 ,13.36702031,5.984e-05,-5.984e-05,Gajdo&scaron; et al. 2019,0.1003,0.0008,-0.0011, Barclay et al. 2013 ,0.77,0.03,-0.03, Barclay et al. 2013 ,0.8029999999999999,0.068,-0.068, Barclay et al. 2013 ,[Fe/H],5417.0,Kepler,Space,0.0,,0,0.03125,1.0,4.476689539794677e-06,0.0094715852442672,0.03896103896103896,0.08468244084682441,0.02,0.0,0.1003,12.552963795980558,0.0
1,Kepler-444 b,Transit,0.036000000000000004,0.001,-0.001,Campante et al. 2015,,,,Campante et al. 2015,88.0,1.2,-0.6,Campante et al. 2015,,,,,0.4,0.17,-0.25,Campante et al. 2015,3.60011885,3.65e-06,-3.65e-06,Holczer et al. 2016,0.04178,0.00079,-0.00079,Campante et al. 2015,0.75,0.01,-0.01,Campante et al. 2015,0.758,0.043,-0.043,Campante et al. 2015,[Fe/H],5046.0,Kepler,Space,,K,0,0.027777777777777776,,1.0138554175787836e-06,0.018908568693154618,0.013333333333333334,0.05672823218997361,,,0.04178,5.368379888268156,0.0
2,Kepler-102 b,Transit,0.042,0.002,-0.002, Marcy et al. 2014 ,0.01353,,, Marcy et al. 2014 ,,,,Marcy et al. 2014,,,,,0.06,0.06,-0.06, Marcy et al. 2014 ,5.28696522,1.219e-05,-1.219e-05,Gajdo&scaron; et al. 2019,,,,Marcy et al. 2014,0.74,0.01,-0.01,Morton et al. 2016,0.8,0.025,-0.027999999999999997,Morton et al. 2016,[Fe/H],4909.0,Kepler,Space,1.0,,0,0.047619047619047616,,2.3056705487463e-06,,0.013513513513513514,0.033125,,,0.05513601153926803,7.180252144438877,0.0
3,Kepler-444 c,Transit,0.044,0.002,-0.002,Campante et al. 2015,,,,Campante et al. 2015,88.2,1.2,-1.0,Campante et al. 2015,,,,,0.42,0.22,-0.27,Campante et al. 2015,4.54586974,2e-06,-2e-06,Holczer et al. 2016,0.04881,0.00093,-0.00093,Campante et al. 2015,0.75,0.01,-0.01,Campante et al. 2015,0.758,0.043,-0.043,Campante et al. 2015,[Fe/H],5046.0,Kepler,Space,,K,0,0.04545454545454545,,4.3995981283880776e-07,0.019053472649047328,0.013333333333333334,0.05672823218997361,,,0.04881,6.271675977653631,0.0
4,Kepler-1308 b,Transit,0.046,0.005,-0.004,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,2.10433812,4.24e-06,-4.24e-06,Morton et al. 2016,,,,Morton et al. 2016,0.48,0.01,-0.01,Berger et al. 2018,0.35,0.038,-0.037000000000000005,Morton et al. 2016,[Fe/H],3468.0,Kepler,Space,,,0,0.09782608695652176,,2.01488532650827e-06,,0.02083333333333334,0.10714285714285716,,,0.022648220180350422,4.547041411906946,0.0
5,Kepler-444 d,Transit,0.047,0.002,-0.002,Campante et al. 2015,0.00063,0.00157,-0.00031,Hadden &amp; Lithwick 2017,88.16,0.81,-0.55,Campante et al. 2015,,,,,0.53,0.13,-0.23,Campante et al. 2015,6.18937218,2.55e-06,-2.55e-06,Holczer et al. 2016,0.06,0.0011,-0.0011,Campante et al. 2015,0.75,0.01,-0.01,Campante et al. 2015,0.758,0.043,-0.043,Campante et al. 2015,[Fe/H],5046.0,Kepler,Space,0.0,K,0,0.0425531914893617,1.492063492063492,4.1199655245162523e-07,0.01833333333333333,0.013333333333333334,0.05672823218997361,0.0022,0.00032,0.06,7.709497206703911,0.0
6,Kepler-62 c,Transit,0.048,0.003,-0.003, Borucki et al. 2013 ,0.013000000000000001,,, Borucki et al. 2013 ,89.7,0.2,-0.2, Borucki et al. 2013 ,,,,,0.16,0.09,-0.09, Borucki et al. 2013 ,12.4417,0.0001,-0.0001, Borucki et al. 2013 ,0.0929,0.0009,-0.0009, Borucki et al. 2013 ,0.64,0.02,-0.02, Borucki et al. 2013 ,0.69,0.02,-0.02, Borucki et al. 2013 ,[Fe/H],4925.0,Kepler,Space,1.0,K2 V,0,0.0625,,8.037486838615304e-06,0.00968783638320775,0.03125,0.028985507246376812,,,0.0929,13.988521298882679,0.0
7,Kepler-444 e,Transit,0.049,0.002,-0.001,Campante et al. 2015,0.00031,0.00063,-0.00031,Hadden &amp; Lithwick 2017,89.13,0.54,-0.52,Campante et al. 2015,,,,,0.29,0.16,-0.17,Campante et al. 2015,7.74350338,2.95e-06,-2.95e-06,Holczer et al. 2016,0.0696,0.0013,-0.0013,Campante et al. 2015,0.75,0.01,-0.01,Campante et al. 2015,0.758,0.043,-0.043,Campante et al. 2015,[Fe/H],5046.0,Kepler,Space,0.0,K,0,0.030612244897959183,1.5161290322580647,3.80964513765086e-07,0.01867816091954023,0.013333333333333334,0.05672823218997361,0.00094,0.0,0.0696,8.943016759776535,0.0
8,Kepler-102 c,Transit,0.052000000000000005,0.002,-0.002, Marcy et al. 2014 ,0.00944,,, Marcy et al. 2014 ,,,,Marcy et al. 2014,,,,,0.06,0.05,-0.05, Marcy et al. 2014 ,7.07145665,6.03e-06,-6.03e-06,Holczer et al. 2016,,,,Marcy et al. 2014,0.74,0.01,-0.01,Morton et al. 2016,0.8,0.025,-0.027999999999999997,Morton et al. 2016,[Fe/H],4909.0,Kepler,Space,1.0,,0,0.038461538461538464,,8.52723886810506e-07,,0.013513513513513514,0.033125,,,0.06693248766330824,8.716483558750317,0.0
9,K2-89 b,Transit,0.055,0.006999999999999999,-0.006999999999999999,Crossfield et al. 2016,,,,Crossfield et al. 2016,85.77,2.27,-1.41,Dressing et al. 2017,,,,,,,,Crossfield et al. 2016,1.095979,6.1e-05,-5.9999999999999995e-05,Dressing et al. 2017,0.01462,0.0005099999999999999,-0.0005099999999999999,Crossfield et al. 2016,0.32,0.03,-0.03,Crossfield et al. 2016,0.34700000000000003,0.036000000000000004,-0.036000000000000004,Crossfield et al. 2016,,3691.0,K2,Space,,,0,0.12727272727272726,,5.520178762549282e-05,0.034883720930232565,0.09375,0.1037463976945245,,,0.01462,4.402845670391061,0.0
